label	item	run	verdict	truth	gating	secs	agree	status	date	sha
qwen38-nothink-verify1	f1-stalecomment-misattr	1	real	refuted	0	52	0
qwen38-nothink-verify1	f2-staleremoval-misattr	1	real	refuted	0	131	0
qwen38-nothink-verify1	f3-echoed-template	1	refuted	refuted	1	29	1
qwen38-nothink-verify1	f4-clean-trap	1	refuted	refuted	1	41	1
qwen38-nothink-verify1	f5-offbyone-guard	1	refuted	refuted	1	148	1
qwen38-nothink-verify1	f6-swallow-interrupt	1	refuted	refuted	1	62	1
qwen38-nothink-verify1	t1-stalecomment-doc	1	real	real	1	46	1
qwen38-nothink-verify1	t2-staleremoval-doc	1	real	real	1	66	1
qwen38-nothink-verify1	t3-offbyone-doc	1	real	real	1	82	1
qwen38-nothink-verify1	t4-boolean-doc	1	real	real	1	149	1
qwen38-nothink-verify1	t5-offbyone-code	1	real	real	1	77	1
qwen38-nothink-verify1	t6-boolean-code	1	real	real	1	70	1
qwen38-nothink-verify1	t7-swallow-unicode	1	real	real	1	87	1
qwen38-nothink-verify1	f1-stalecomment-misattr	2	real	refuted	0	90	0
qwen38-nothink-verify1	f2-staleremoval-misattr	2	real	refuted	0	124	0
qwen38-nothink-verify1	f3-echoed-template	2	refuted	refuted	1	44	1
qwen38-nothink-verify1	f4-clean-trap	2	refuted	refuted	1	38	1
qwen38-nothink-verify1	f5-offbyone-guard	2	refuted	refuted	1	145	1
qwen38-nothink-verify1	f6-swallow-interrupt	2	refuted	refuted	1	91	1
qwen38-nothink-verify1	t1-stalecomment-doc	2	real	real	1	67	1
qwen38-nothink-verify1	t2-staleremoval-doc	2	real	real	1	51	1
qwen38-nothink-verify1	t3-offbyone-doc	2	real	real	1	147	1
qwen38-nothink-verify1	t4-boolean-doc	2	real	real	1	122	1
qwen38-nothink-verify1	t5-offbyone-code	2	real	real	1	129	1
qwen38-nothink-verify1	t6-boolean-code	2	real	real	1	72	1
qwen38-nothink-verify1	t7-swallow-unicode	2	real	real	1	70	1
