label	case	run	exit	expected	secs	nfind	found	found_any	status	date	sha	vsurv	vtotal
glm47flash-mlx	offbyone	1	3	4	272	0	0	0
glm47flash-mlx	swallow	1	3	4	71	0	0	1
glm47flash-mlx	boolean	1	3	4	117	0	0	0
glm47flash-mlx	leak	1	3	4	12	1	0	1
glm47flash-mlx	clean	1	3	0	87	1	0	0
qwen3coder-mlx	offbyone	1	4	4	10	1	1	1
qwen3coder-mlx	swallow	1	0	4	5	0	0	0
qwen3coder-mlx	boolean	1	4	4	5	1	1	1
qwen3coder-mlx	leak	1	4	4	5	1	1	1
qwen3coder-mlx	clean	1	0	0	5	0	0	0
qwen3coder-mlx	offbyone	2	4	4	5	1	1	1
qwen3coder-mlx	swallow	2	0	4	5	0	0	0
qwen3coder-mlx	boolean	2	4	4	5	1	1	1
qwen3coder-mlx	leak	2	4	4	5	2	1	1
qwen3coder-mlx	clean	2	0	0	5	0	0	0
devstral2-mlx	offbyone	1	4	4	25	1	1	1
devstral2-mlx	swallow	1	0	4	36	0	0	0
devstral2-mlx	boolean	1	4	4	40	1	1	1
devstral2-mlx	leak	1	4	4	30	1	1	1
devstral2-mlx	clean	1	0	0	30	0	0	0
devstral2-mlx	offbyone	2	4	4	25	1	1	1
devstral2-mlx	swallow	2	0	4	35	0	0	0
devstral2-mlx	boolean	2	0	4	20	0	0	0
devstral2-mlx	leak	2	4	4	30	1	1	1
devstral2-mlx	clean	2	0	0	30	0	0	0
qwen38-mlx	offbyone	1	4	4	165	1	1	1
qwen38-mlx	swallow	1	4	4	251	1	1	1
qwen38-mlx	boolean	1	4	4	140	1	1	1
qwen38-mlx	leak	1	4	4	231	1	1	1
qwen38-mlx	clean	1	3	0	95	0	0	0
qwen38-mlx	offbyone	2	4	4	155	1	1	1
qwen38-mlx	swallow	2	4	4	452	2	1	1
qwen38-mlx	boolean	2	4	4	125	1	1	1
qwen38-mlx	leak	2	4	4	220	1	1	1
qwen38-mlx	clean	2	0	0	81	0	0	0
qwen3coder-mlx-v3	offbyone	1	4	4	10	1	1	1
qwen3coder-mlx-v3	swallow	1	0	4	5	0	0	0
qwen3coder-mlx-v3	boolean	1	4	4	5	1	1	1
qwen3coder-mlx-v3	leak	1	4	4	5	2	1	1
qwen3coder-mlx-v3	clean	1	0	0	5	0	0	0
qwen3coder-mlx-v3	offbyone	2	4	4	5	1	1	1
qwen3coder-mlx-v3	swallow	2	0	4	5	0	0	0
qwen3coder-mlx-v3	boolean	2	4	4	5	1	1	1
qwen3coder-mlx-v3	leak	2	4	4	5	1	1	1
qwen3coder-mlx-v3	clean	2	0	0	5	0	0	0
devstral2-mlx-v3	offbyone	1	4	4	20	1	1	1
devstral2-mlx-v3	swallow	1	0	4	10	0	0	0
devstral2-mlx-v3	boolean	1	4	4	30	1	1	1
devstral2-mlx-v3	leak	1	0	4	10	0	0	0
devstral2-mlx-v3	clean	1	0	0	11	0	0	0
devstral2-mlx-v3	offbyone	2	4	4	15	1	1	1
devstral2-mlx-v3	swallow	2	0	4	10	0	0	0
devstral2-mlx-v3	boolean	2	4	4	40	1	1	1
devstral2-mlx-v3	leak	2	4	4	45	1	1	1
devstral2-mlx-v3	clean	2	0	0	10	0	0	0
qwen38-mlx-v3	offbyone	1	4	4	115	1	1	1
qwen38-mlx-v3	swallow	1	4	4	226	1	1	1
qwen38-mlx-v3	boolean	1	4	4	110	1	1	1
qwen38-mlx-v3	leak	1	4	4	241	1	1	1
qwen38-mlx-v3	clean	1	0	0	125	0	0	0
qwen38-mlx-v3	offbyone	2	4	4	165	1	1	1
qwen38-mlx-v3	swallow	2	4	4	190	1	1	1
qwen38-mlx-v3	boolean	2	4	4	110	1	1	1
qwen38-mlx-v3	leak	2	4	4	266	1	1	1
qwen38-mlx-v3	clean	2	0	0	60	0	0	0
smoke-qwen3coder-gguf	boolean	1	4	4	10	1	1	1
qwen3coder-gguf-v3	offbyone	1	4	4	6	1	1	1
qwen3coder-gguf-v3	swallow	1	0	4	5	0	0	0
qwen3coder-gguf-v3	boolean	1	4	4	5	1	1	1
qwen3coder-gguf-v3	leak	1	4	4	5	1	1	1
qwen3coder-gguf-v3	clean	1	0	0	5	0	0	0
qwen3coder-gguf-v3	offbyone	2	4	4	5	1	1	1
qwen3coder-gguf-v3	swallow	2	0	4	5	0	0	0
qwen3coder-gguf-v3	boolean	2	4	4	5	1	1	1
qwen3coder-gguf-v3	leak	2	4	4	5	1	1	1
qwen3coder-gguf-v3	clean	2	0	0	5	0	0	0
glm47flash-gguf-nothink-v3	offbyone	1	4	4	10	1	1	1
glm47flash-gguf-nothink-v3	swallow	1	4	4	5	1	0	0
glm47flash-gguf-nothink-v3	boolean	1	4	4	5	1	1	1
glm47flash-gguf-nothink-v3	leak	1	4	4	5	1	1	1
glm47flash-gguf-nothink-v3	clean	1	0	0	5	0	0	0
glm47flash-gguf-nothink-v3	offbyone	2	4	4	5	1	1	1
glm47flash-gguf-nothink-v3	swallow	2	0	4	5	0	0	0
glm47flash-gguf-nothink-v3	boolean	2	0	4	5	0	0	0
